id,gender,age,handedness,hearing_problems_current,hearing_problems_past,absolute_pitch,german_speak,german_comprehend,german_read,german_write,english_speak,english_comprehend,english_read,english_write,french_read,french_comprehend,french_read,french_write,language4_speak,language4_comprehend,language4_read,language4_write,hörtraining,music_training_harmonics,music_training_composition,music_training_analytics,music_training_history,music_training_other,music_training_improv,melodic_stability,listen_preference1_genre,listen_preference1_duration,listen_preference2_genre,listen_preference2_duration,listen_preference3_genre,listen_preference3_duration,background_preference1_genre,background_preference1_duration,background_preference2_genre,background_preference2_duration,background_preference3_genre,background_preference3_duration,concert_preference1_genre,concert_preference1_duration,concert_preference2_genre,concert_preference2_duration,concert_preference3_genre,concert_preference3_duration,favorite_music_examples,musician,music_lover,musician_style1,musician_style2,musician_style3,musician_instruments,musician_improv,musician_improv_style,musician_conductor,musician_other_activities,musician_act1,musician_act1_duration,musician_act1_startage,musician_act1_endage,musician_act2,musician_act2_duration,musician_act2_startage,musician_act2_endage,musician_act3,musician_act3_duration,musician_act3_startage,musician_act3_endage,forrest_seen,forrest_seen_dist,forrest_seen_count,forrest_seen_languages,forrest_ad_known,forrest_ad_rating,forrest_ad_storydepth,forrest_ad_fatigue,forrest_ad_feeling,forrest_ad_artist_count,audioq1,audioq2,audioq3,audioq4,audioq5,audioq6,audioq7,audioq8
11,m,20-25,r,n,y,1,3,3,3,3,2,2,2,2,1,1,1,1,,,,,,,,,,,,2,Electro,10,Hip Hop,5,,,Electro,10,R'n'B,10,Rock,3,Techno,1-2h/week,,,,,Headhunterz; Chakuza; gestört aber geil; Monkey Safarie; Sean Paul,n,,,,,,n,,n,,,,,,,,,,,,,,y,42,2,german,n,3,3,1,4,5,4,4,4,4,4,4,4,4
12,m,25-30,r,n,n,2,3,3,3,3,2,2,2,2,0,0,0,0,,,,,,,,,,,,3,Hardcore,5,Metal,10,Electro,7,Hardcore,30,Metal,20,Electro,50,Hardcore,5h/week,Metal,3h/week,Electro,7h/week,Ammon Amarth; The Ghost Inside; Deez Nuts; Emmure; Ostblockschlampen; Queen of Vandalism; Monkey Safari,y,,Metal,Rock,Classical,"guitar, bass guitar",n,n,n,jamming,guitar,24,16,ongoing,jamming,3,19,ongoing,,,,,y,54,4,german,n,3,4,2,4,6.5,3,3,3,3,3,3,3,3
13,f,20-25,r,n,n,1,3,3,3,3,2,2,2,2,1,1,1,1,,,,,,,,,,,,3,Pop,,Rock,,House,,Pop,,Electro,,,,Rock,,Electro,,,,Two Door Cinema Club; Olli Schulz; Robyn,n,y,,,,,,,,,vocalist,6,11,16,keyboard,6,15,16,guitar,6,16,17,y,12,5,german,n,4,3,3,3,12,3,3,3,3,3,3,3,3
14,f,30-35,r,n,y,1,3,3,3,3,2,2,2,2,1,1,1,1,,,,,,,,,,,,1,Pop,14,,,,,Electro,,Trance,,Rock+Pop,,Electro,,Trance,,Rock+Pop,,,n,y,,,,,,,,,,,,,,,,,,,,,y,120,3,german,n,4,4,2,3,10,4,3,3,3,4,4,4,4
15,m,25-30,r,n,n,1,3,3,3,3,2,3,3,2,1,1,1,1,,,,,,,,,,,,2,,,,,,,Rock,5,Dance,5,Pop,5,Rock,2/year,,,,,,n,n,,,,,,,,,guitar,10,23,25,,,,,,,,,y,48,1,german,n,3,3,1,3,18,3,2,3,3,3,3,3,3
16,m,35-40,r,n,n,,3,3,3,3,2,2,2,2,0,0,0,0,,,,,,,,,,,,,Rock,2,Pop,,Chillout/Classical,,anything,15,,,,,Pop,1/year,Rock,,Klassik,,Mozart; Rammstein; Lexy K Paul; U2; Eurythemics; Queen; Fantastische Vier; Silbermond; Schiller; Vivaldi; Bach; Depeche Mode; Pink; Roxette; ABBA; Kate Bush; Pink Floyd; Rosenstolz; The Prodigy,n,y,,,,,,,,,,,,,,,,,,,,,n,,,german,n,3,3,2,3,2.3,3,2,2,2,3,3,3,2
17,m,30-35,r,n,n,2,3,3,3,3,3,2,3,2,0,0,0,0,,,,,,,,,,,,3,Classic Rock,5,Deutsch Pop,5,,,Charts,2,,,,,,,,,,,Madsen; Silly; Metallica,n,y,,,,,,,,,,,,,,,,,,,,,y,12,3,german,n,3,4,1,4,10,3,3,3,3,3,3,3,3
18,m,30-35,r,n,n,2,3,3,3,3,2,2,2,2,0,0,0,0,,,,,,,,,,,,2,EBM/Industrial/Electro,20,Gothic-Rock,,Metal,,Darkwave,,Gothic-Rock,,Metal,,Gothic Rock,4-6/year,EBM,,Industrial,,ASP; Mono Inc.; Welle: Erdball; Böhse Onkelz; :Wumpscut:,n,y,,,,,,,,,,,,,,,,,,,,,y,180,2,german,n,4,4,1,4,12,4,3,3,4,4,4,4,4
19,f,20-25,r,n,n,3,3,3,3,3,3,3,3,3,0,0,0,0,,,,,,,,,,,,,Rock,2,Alternative,2,Indie,2,Rock,2,Alternative,2,Indie,2,Rock,2-4/year,Alternative,2-4/year,Indie,2-4/year,Beatsteaks; Wirtz; Stone Sour; Paramore; Jennifer Rostock,n,y,,,,,,,,vocalist,,,,,,,,,,,,,y,24,2,german,n,4,4,1,3,5,4,4,4,3,3,3,3,3
20,f,25-30,r,n,y,2,3,3,3,3,3,3,3,3,2,2,2,2,,,,,,,,,,,,3,Pop,7,Minimal,7,Rock,7,Pop,7,Classical,,,,Musical,2/year,,,,,,y,,Pop,Classical,Folk,accordion; keyboard,n,,n,,melodica,20,6,8,accordion,30,8,18,,,,,y,120,1,german,n,4,4,1,4,5,3,4,4,4,4,4,4,4
